# python scripts/zhao2d_gradient_check.py --thermal-refinement 2   (2026-09-23, local CPU)
# Newton progress lines removed; everything else verbatim.
DUAL MESH: thermal refinement 2, 5200 thermal elements, quadrature 3
mesh h = 0.0002, 1300 elements, 1250 design variables
filter radius = 2.0 h, projection beta = 0.0
Psi_0 = 0.030833302, C_0 = 20491.09114

--- stage reference (alpha_max 1e+06, beta 0) | uniform 0.6 ---
    base converged: flow 1.86e-14, thermal 3.60e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       750  Psi   1.385796e-05      3.28e-09     8.56e-08     2.61e-07  3.28e-09
       750    C   1.839564e+01      5.75e-10     1.44e-08     2.52e-07  5.75e-10
       750    g  -1.816831e-03      4.08e-10     4.69e-09     3.20e-08  4.08e-10
       750    J   6.735930e-04      1.96e-09     1.45e-08     1.34e-07  1.96e-09
       385  Psi   6.285509e-05      2.96e-10     1.36e-09     7.59e-08  2.96e-10
       385    C  -3.578700e+01      9.80e-10     7.66e-09     9.40e-08  9.80e-10
       385    g  -2.000000e-03      2.88e-11     3.30e-09     2.72e-08  2.88e-11
       385    J   1.460396e-04      5.97e-09     1.63e-09     1.50e-07  1.63e-09
       268  Psi   5.950788e-05      2.06e-10     5.62e-09     1.34e-07  2.06e-10
       268    C  -3.679507e+01      9.76e-10     1.09e-08     2.37e-08  9.76e-10
       268    g  -2.000000e-03      2.88e-11     5.26e-10     2.72e-08  2.88e-11
       268    J   6.716279e-05      1.06e-08     1.76e-07     2.32e-06  1.06e-08
       169  Psi   6.121665e-05      5.10e-10     8.84e-09     3.40e-10  3.40e-10
       169    C  -4.082185e+01      1.06e-09     1.09e-08     2.16e-07  1.06e-09
       169    g  -2.000000e-03      2.88e-11     2.25e-09     2.72e-08  2.88e-11
       169    J  -3.384411e-06      5.68e-07     1.07e-06     6.78e-05  5.68e-07
       708  Psi   3.204643e-05      8.24e-10     2.25e-08     1.54e-08  8.24e-10
       708    C   3.908817e+00      1.54e-08     5.26e-08     1.45e-06  1.54e-08
       708    g  -2.000000e-03      2.88e-11     3.30e-09     2.83e-08  2.88e-11
       708    J   6.150508e-04      2.40e-09     1.75e-08     1.09e-07  2.40e-09
       993  Psi   1.148015e-05      2.33e-09     1.44e-08     4.09e-07  2.33e-09
       993    C   1.617466e+01      1.09e-09     2.37e-08     1.81e-07  1.09e-09
       993    g  -2.000000e-03      2.88e-11     3.30e-09     2.83e-08  2.88e-11
       993    J   5.808404e-04      1.05e-09     2.57e-08     1.98e-07  1.05e-09
      dir0  Psi   6.900301e-04      6.68e-09     3.08e-10     2.07e-09  3.08e-10
      dir0    C  -2.490628e+03      1.75e-10     1.75e-10     2.24e-09  1.75e-10
      dir0    g   1.312360e-02      2.66e-11     1.53e-10     8.73e-09  2.66e-11
      dir0    J  -4.958375e-02      1.71e-09     4.34e-10     4.49e-09  4.34e-10
      dir1  Psi  -8.614586e-03      1.07e-08     7.61e-11     6.20e-10  7.61e-11
      dir1    C   1.676952e+03      2.12e-10     1.57e-10     3.74e-10  1.57e-10
      dir1    g   1.313107e-01      2.41e-12     1.29e-10     6.36e-10  2.41e-12
      dir1    J  -9.877708e-02      1.52e-08     7.32e-11     1.84e-09  7.32e-11

--- stage reference (alpha_max 1e+06, beta 0) | non-uniform grey ---
    base converged: flow 1.57e-14, thermal 2.78e-14
     probe  qty             AD   rel @ 1e-04  rel @ 1e-05  rel @ 1e-06      best
       428  Psi   4.177491e-05      4.39e-10     2.42e-11     8.72e-08  2.42e-11
       428    C  -3.848698e+01      7.82e-11     1.00e-08     1.84e-07  7.82e-11
       428    g  -2.000000e-03      2.88e-11     5.26e-10     2.83e-08  2.88e-11
       428    J  -2.616832e-04      1.06e-09     4.77e-08     8.43e-07  1.06e-09
      1158  Psi   5.436474e-06      9.43e-09     4.48e-08     7.47e-07  9.43e-09
      1158    C   2.645463e+01      1.45e-10     2.60e-09     2.32e-08  1.45e-10
      1158    g  -2.183169e-03      1.16e-10     2.15e-09     2.76e-08  1.16e-10
      1158    J   7.336746e-04      1.57e-09     1.20e-08     1.18e-07  1.57e-09
       171  Psi   3.763764e-05      6.80e-10     7.62e-09     1.60e-09  6.80e-10
       171    C  -3.514425e+01      1.02e-09     5.16e-09     1.29e-07  1.02e-09
       171    g  -2.000000e-03      2.88e-11     5.26e-10     2.83e-08  2.88e-11
       171    J  -2.472088e-04      5.15e-09     6.80e-08     5.83e-07  5.15e-09
      1128  Psi   1.993764e-05      2.43e-09     4.53e-09     7.41e-08  2.43e-09
      1128    C   4.434125e+01      6.67e-10     5.08e-09     4.42e-08  6.67e-10
      1128    g  -2.000000e-03      2.88e-11     5.02e-09     2.72e-08  2.88e-11
      1128    J   1.405278e-03      4.64e-11     1.63e-09     8.13e-08  4.64e-11
      1020  Psi   2.203693e-05      8.97e-10     9.34e-09     1.75e-07  8.97e-10
